項目選択肢用コントロールカラム,商品管理番号（商品URL）,選択肢タイプ,Select/Checkbox用項目名,Select/Checkbox用選択肢,項目選択肢別在庫用横軸選択肢,項目選択肢別在庫用横軸選択肢子番号,項目選択肢別在庫用縦軸選択肢,項目選択肢別在庫用縦軸選択肢子番号,項目選択肢別在庫用取り寄せ可能表示,項目選択肢別在庫用在庫数,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号
"","9th-b_b","i","","","48cm","","","","1","99","0","0","1","1"
"","9th-b_b","i","","","54cm","","","","1","100","0","0","1","1"
"","9th-b_b","i","","","59cm","","","","1","100","0","0","1","1"
"","9th-b_bl","i","","","48cm","","","","1","100","0","0","1","1"
"","9th-b_bl","i","","","54cm","","","","1","100","0","0","1","1"
"","9th-b_bl","i","","","59cm","","","","1","100","0","0","1","1"
"","9th-bl_r","i","","","48cm","","","","1","100","0","0","1","1"
"","9th-bl_r","i","","","54cm","","","","1","100","0","0","1","1"
"","9th-bl_r","i","","","59cm","","","","1","100","0","0","1","1"
"","9th-gry_or","i","","","48cm","","","","1","100","0","0","1","1"
"","9th-gry_or","i","","","54cm","","","","1","100","0","0","1","1"
"","9th-gry_or","i","","","59cm","","","","1","100","0","0","1","1"
"","9th-mi_bronze","i","","","48cm","","","","1","98","0","0","1","1"
"","9th-mi_bronze","i","","","54cm","","","","1","100","0","0","1","1"
"","9th-mi_bronze","i","","","59cm","","","","1","100","0","0","1","1"
"","9th-p_r","i","","","48cm","","","","1","100","0","0","1","1"
"","9th-p_r","i","","","54cm","","","","1","98","0","0","1","1"
"","9th-p_r","i","","","59cm","","","","1","100","0","0","1","1"
"","9th-r_p","i","","","48cm","","","","1","100","0","0","1","1"
"","9th-r_p","i","","","54cm","","","","1","100","0","0","1","1"
"","9th-r_p","i","","","59cm","","","","1","100","0","0","1","1"
"","9th-w_bl_gr","i","","","48cm","","","","1","100","0","0","1","1"
"","9th-w_bl_gr","i","","","54cm","","","","1","100","0","0","1","1"
"","9th-w_bl_gr","i","","","59cm","","","","1","100","0","0","1","1"
"","complete-721duo-black","i","","","46cm","","","","0","100","0","0","1","1"
"","complete-721duo-black","i","","","48.5cm","","","","0","100","0","0","1","1"
"","complete-721duo-black","i","","","51cm","","","","0","100","0","0","1","1"
"","complete-721duo-black","i","","","53cm","","","","0","100","0","0","1","1"
"","complete-721duo-black","i","","","55cm","","","","0","100","0","0","1","1"
"","complete-721duo-black","i","","","58cm","","","","0","100","0","0","1","1"
"","complete-721duo-white","i","","","46cm","","","","0","100","0","0","1","1"
"","complete-721duo-white","i","","","48.5cm","","","","0","100","0","0","1","1"
"","complete-721duo-white","i","","","51cm","","","","0","100","0","0","1","1"
"","complete-721duo-white","i","","","53cm","","","","0","100","0","0","1","1"
"","complete-721duo-white","i","","","55cm","","","","0","100","0","0","1","1"
"","complete-721duo-white","i","","","58cm","","","","0","100","0","0","1","1"
"","complete-721tr-black","i","","","XXS(46cm)","","","","1","99","0","0","3","3"
"","complete-721tr-black","i","","","XS(48.5cm)","","","","1","99","0","0","3","3"
"","complete-721tr-black","i","","","S(51cm)","","","","1","98","0","0","3","3"
"","complete-721tr-black","i","","","M(53cm)","","","","1","98","0","0","3","3"
"","complete-721tr-black","i","","","L(55cm)","","","","1","98","0","0","3","3"
"","complete-721tr-black","i","","","XL(58cm)","","","","1","100","0","0","3","3"
"","complete-721tr-white","i","","","XXS(46cm)","","","","1","100","0","0","1","1"
"","complete-721tr-white","i","","","XS(48.5cm)","","","","1","99","0","0","1","1"
"","complete-721tr-white","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","complete-721tr-white","i","","","M(53cm)","","","","1","100","0","0","1","1"
"","complete-721tr-white","i","","","L(55cm)","","","","1","99","0","0","1","1"
"","complete-721tr-white","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","complete-722lo-black","i","","","S(52cm)","","","","1","100","0","0","1","1"
"","complete-722lo-black","i","","","M(55cm)","","","","1","100","0","0","1","1"
"","complete-722lo-black","i","","","L(57cm)","","","","1","100","0","0","1","1"
"","complete-722lo-lilac","i","","","S(52cm)","","","","1","100","0","0","1","1"
"","complete-722lo-lilac","i","","","M(55cm)","","","","1","100","0","0","1","1"
"","complete-722lo-lilac","i","","","L(57cm)","","","","1","100","0","0","1","1"
"","complete-725duo-black","i","","","XS(48.5cm)","","","","1","100","0","0","1","1"
"","complete-725duo-black","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","complete-725duo-black","i","","","M(53cm)","","","","1","100","0","0","1","1"
"","complete-725duo-black","i","","","L(55cm)","","","","1","99","0","0","1","1"
"","complete-725duo-black","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","complete-725duo-white","i","","","XS(48.5cm)","","","","1","100","0","0","1","1"
"","complete-725duo-white","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","complete-725duo-white","i","","","M(53cm)","","","","1","100","0","0","1","1"
"","complete-725duo-white","i","","","L(55cm)","","","","1","100","0","0","1","1"
"","complete-725duo-white","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","complete-725tr-black","i","","","XS(48.5cm)","","","","1","100","0","0","1","1"
"","complete-725tr-black","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","complete-725tr-black","i","","","M(53cm)","","","","1","100","0","0","1","1"
"","complete-725tr-black","i","","","L(55cm)","","","","1","100","0","0","1","1"
"","complete-725tr-black","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","complete-725tr-white","i","","","XS(48.5cm)","","","","1","100","0","0","1","1"
"","complete-725tr-white","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","complete-725tr-white","i","","","M(53cm)","","","","1","100","0","0","1","1"
"","complete-725tr-white","i","","","L(55cm)","","","","1","100","0","0","1","1"
"","complete-725tr-white","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","complete-735tr-black","i","","","S(51cm)","","","","1","100","0","0","5","5"
"","complete-735tr-black","i","","","M(53cm)","","","","1","100","0","0","5","5"
"","complete-735tr-black","i","","","L(55cm)","","","","1","99","0","0","5","5"
"","complete-735tr-black","i","","","XL(58cm)","","","","1","100","0","0","5","5"
"","complete-735tr-white","i","","","S(51cm)","","","","1","100","0","0","5","5"
"","complete-735tr-white","i","","","M(53cm)","","","","1","100","0","0","5","5"
"","complete-735tr-white","i","","","L(55cm)","","","","1","100","0","0","5","5"
"","complete-735tr-white","i","","","XL(58cm)","","","","1","100","0","0","5","5"
"","complete-eqnx-carbon","i","","","50cm","","","","0","100","0","0","3","3"
"","complete-eqnx-carbon","i","","","52cm","","","","0","100","0","0","3","3"
"","complete-eqnx-carbon","i","","","54cm","","","","0","100","0","0","3","3"
"","complete-eqnx-carbon","i","","","56cm","","","","0","100","0","0","3","3"
"","complete-eqnx-carbon","i","","","58cm","","","","0","100","0","0","3","3"
"","complete-kagero-ob","i","","","S(52cm)","","","","1","100","0","0","3","3"
"","complete-kagero-ob","i","","","M(55cm)","","","","1","100","0","0","3","3"
"","complete-kagero-ob","i","","","L(57cm)","","","","1","100","0","0","3","3"
"","complete-kagero-pp","i","","","S(52cm)","","","","1","100","0","0","3","3"
"","complete-kagero-pp","i","","","M(55cm)","","","","1","100","0","0","3","3"
"","complete-kagero-pp","i","","","L(57cm)","","","","1","100","0","0","3","3"
"","complete-renovatio-raven","i","","","50cm","","","","0","100","0","0","3","3"
"","complete-renovatio-raven","i","","","52cm","","","","0","100","0","0","3","3"
"","complete-renovatio-raven","i","","","54cm","","","","0","100","0","0","3","3"
"","complete-renovatio-raven","i","","","56cm","","","","0","100","0","0","3","3"
"","complete-renovatio-raven","i","","","58cm","","","","0","100","0","0","3","3"
"","custom-130702-heritage","i","","","S(52cm)","","","","1","100","0","0","1","1"
"","custom-130702-heritage","i","","","M(55cm)","","","","1","100","0","0","1","1"
"","custom-130702-heritage","i","","","L(57cm)","","","","1","100","0","0","1","1"
"","custom-130703-heritage","i","","","S(52cm)","","","","1","100","0","0","1","1"
"","custom-130703-heritage","i","","","M(55cm)","","","","1","100","0","0","1","1"
"","custom-130703-heritage","i","","","L(57cm)","","","","1","100","0","0","1","1"
"","custom-130704-721tr","i","","","XXS(46cm)","","","","1","100","0","0","1","1"
"","custom-130704-721tr","i","","","XS(48.5cm)","","","","1","100","0","0","1","1"
"","custom-130704-721tr","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","custom-130704-721tr","i","","","M(53cm)","","","","1","100","0","0","1","1"
"","custom-130704-721tr","i","","","L(55cm)","","","","1","100","0","0","1","1"
"","custom-130704-721tr","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","custom-130705-735tr","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","custom-130705-735tr","i","","","M(53cm)","","","","1","100","0","0","1","1"
"","custom-130705-735tr","i","","","L(55cm)","","","","1","100","0","0","1","1"
"","custom-130705-735tr","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","custom-130709-735tr","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","custom-130709-735tr","i","","","M(53cm)","","","","1","100","0","0","1","1"
"","custom-130709-735tr","i","","","L(55cm)","","","","1","100","0","0","1","1"
"","custom-130709-735tr","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","custom-130712-735tr","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","custom-130712-735tr","i","","","M(53cm)","","","","1","100","0","0","1","1"
"","custom-130712-735tr","i","","","L(55cm)","","","","1","100","0","0","1","1"
"","custom-130712-735tr","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","custom-130717-kagero","i","","","S(52cm)","","","","1","100","0","0","1","1"
"","custom-130717-kagero","i","","","M(55cm)","","","","1","100","0","0","1","1"
"","custom-130717-kagero","i","","","L(57cm)","","","","1","100","0","0","1","1"
"","custom-130719-735tr","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","custom-130719-735tr","i","","","M(53cm)","","","","1","100","0","0","1","1"
"","custom-130719-735tr","i","","","L(55cm)","","","","1","100","0","0","1","1"
"","custom-130719-735tr","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","custom-130720-2-721tr","i","","","XXS(46cm)","","","","1","100","0","0","1","1"
"","custom-130720-2-721tr","i","","","XS(48.5cm)","","","","1","100","0","0","1","1"
"","custom-130720-2-721tr","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","custom-130720-2-721tr","i","","","M(53cm)","","","","1","100","0","0","1","1"
"","custom-130720-2-721tr","i","","","L(55cm)","","","","1","100","0","0","1","1"
"","custom-130720-2-721tr","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","custom-130720-721tr","i","","","XXS(46cm)","","","","1","100","0","0","1","1"
"","custom-130720-721tr","i","","","XS(48.5cm)","","","","1","100","0","0","1","1"
"","custom-130720-721tr","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","custom-130720-721tr","i","","","M(53cm)","","","","1","99","0","0","1","1"
"","custom-130720-721tr","i","","","L(55cm)","","","","1","100","0","0","1","1"
"","custom-130720-721tr","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","custom-130721-721tr","i","","","XXS(46cm)","","","","1","100","0","0","1","1"
"","custom-130721-721tr","i","","","XS(48.5cm)","","","","1","100","0","0","1","1"
"","custom-130721-721tr","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","custom-130721-721tr","i","","","M(53cm)","","","","1","100","0","0","1","1"
"","custom-130721-721tr","i","","","L(55cm)","","","","1","100","0","0","1","1"
"","custom-130721-721tr","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","custom-130721-735tr","i","","","S(51cm)","","","","0","10","0","0","",""
"","custom-130721-735tr","i","","","M(53cm)","","","","0","10","0","0","",""
"","custom-130721-735tr","i","","","L(55cm)","","","","0","10","0","0","",""
"","custom-130721-735tr","i","","","XL(58cm)","","","","0","10","0","0","",""
"","custom-130723-735tr","i","","","S(51cm)","","","","0","10","0","0","",""
"","custom-130723-735tr","i","","","M(53cm)","","","","0","10","0","0","",""
"","custom-130723-735tr","i","","","L(55cm)","","","","0","10","0","0","",""
"","custom-130723-735tr","i","","","XL(58cm)","","","","0","10","0","0","",""
"","detroit2","i","","","48cm","","","","0","10","0","0","6","6"
"","detroit2","i","","","50cm","","","","0","10","0","0","6","6"
"","detroit2","i","","","52cm","","","","0","10","0","0","6","6"
"","detroit2","i","","","54cm","","","","0","10","0","0","6","6"
"","detroit2","i","","","56cm","","","","0","10","0","0","6","6"
"","detroit2","i","","","58cm","","","","0","10","0","0","6","6"
"","draftlite-b","i","","","52cm","","","","1","99","0","0","1","1"
"","draftlite-b","i","","","54cm","","","","1","100","0","0","1","1"
"","draftlite-b","i","","","56cm","","","","1","100","0","0","1","1"
"","draftlite-w","i","","","52cm","","","","1","100","0","0","1","1"
"","draftlite-w","i","","","54cm","","","","1","100","0","0","1","1"
"","draftlite-w","i","","","56cm","","","","1","100","0","0","1","1"
"","eastside-b","i","","","51cm","","","","1","100","0","0","1","1"
"","eastside-b","i","","","53cm","","","","1","99","0","0","1","1"
"","eastside-b","i","","","57cm","","","","1","99","0","0","1","1"
"","eastside-b","i","","","60cm","","","","1","100","0","0","1","1"
"","eastside-c","i","","","51cm","","","","1","99","0","0","1","1"
"","eastside-c","i","","","53cm","","","","1","99","0","0","1","1"
"","eastside-c","i","","","57cm","","","","1","100","0","0","1","1"
"","eastside-c","i","","","60cm","","","","1","100","0","0","1","1"
"","eastside-s","i","","","51cm","","","","1","99","0","0","1","1"
"","eastside-s","i","","","53cm","","","","1","100","0","0","1","1"
"","eastside-s","i","","","57cm","","","","1","100","0","0","1","1"
"","eastside-s","i","","","60cm","","","","1","100","0","0","1","1"
"","frame-722ts-b","i","","","S(52cm)","","","","1","100","0","0","1","1"
"","frame-722ts-b","i","","","M(55cm)","","","","1","100","0","0","1","1"
"","frame-722ts-b","i","","","L(57cm)","","","","1","100","0","0","1","1"
"","frame-722ts-bl","i","","","S(52cm)","","","","1","100","0","0","1","1"
"","frame-722ts-bl","i","","","M(55cm)","","","","1","100","0","0","1","1"
"","frame-722ts-bl","i","","","L(57cm)","","","","1","100","0","0","1","1"
"","frame-722ts-r","i","","","S(52cm)","","","","1","100","0","0","1","1"
"","frame-722ts-r","i","","","M(55cm)","","","","1","99","0","0","1","1"
"","frame-722ts-r","i","","","L(57cm)","","","","1","100","0","0","1","1"
"","frame-725tr-b","i","","","XS(48.5cm)","","","","1","99","0","0","3","3"
"","frame-725tr-b","i","","","S(51cm)","","","","1","100","0","0","3","3"
"","frame-725tr-b","i","","","M(53cm)","","","","1","100","0","0","3","3"
"","frame-725tr-b","i","","","L(55cm)","","","","1","100","0","0","3","3"
"","frame-725tr-b","i","","","XL(58cm)","","","","1","100","0","0","3","3"
"","frame-725tr-w","i","","","XS(48.5cm)","","","","1","100","0","0","3","3"
"","frame-725tr-w","i","","","S(51cm)","","","","1","100","0","0","3","3"
"","frame-725tr-w","i","","","M(53cm)","","","","1","100","0","0","3","3"
"","frame-725tr-w","i","","","L(55cm)","","","","1","100","0","0","3","3"
"","frame-725tr-w","i","","","XL(58cm)","","","","1","100","0","0","3","3"
"","frame-735tr-b","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","frame-735tr-b","i","","","M(53cm)","","","","1","100","0","0","1","1"
"","frame-735tr-b","i","","","L(55cm)","","","","1","100","0","0","1","1"
"","frame-735tr-b","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","frame-735tr-w","i","","","S(51cm)","","","","1","100","0","0","1","1"
"","frame-735tr-w","i","","","M(53cm)","","","","1","100","0","0","1","1"
"","frame-735tr-w","i","","","L(55cm)","","","","1","100","0","0","1","1"
"","frame-735tr-w","i","","","XL(58cm)","","","","1","100","0","0","1","1"
"","frame-eqnx","i","","","50cm","","","","0","100","0","0","3","3"
"","frame-eqnx","i","","","52cm","","","","0","100","0","0","3","3"
"","frame-eqnx","i","","","54cm","","","","0","100","0","0","3","3"
"","frame-eqnx","i","","","56cm","","","","0","100","0","0","3","3"
"","frame-eqnx","i","","","58cm","","","","0","100","0","0","3","3"
"","frame-eqnx","i","","","60cm","","","","0","100","0","0","3","3"
"","frame-heritage-b","i","","","S(52cm)","","","","1","100","0","0","1","1"
"","frame-heritage-b","i","","","M(55cm)","","","","1","100","0","0","1","1"
"","frame-heritage-b","i","","","L(57cm)","","","","1","100","0","0","1","1"
"","frame-heritage-l","i","","","S(52cm)","","","","1","100","0","0","1","1"
"","frame-heritage-l","i","","","M(55cm)","","","","1","100","0","0","1","1"
"","frame-heritage-l","i","","","L(57cm)","","","","1","100","0","0","1","1"
"","frame-hurricane-b","i","","","S(50cm)","","","","1","100","0","0","1","1"
"","frame-hurricane-b","i","","","L(54cm)","","","","1","100","0","0","1","1"
"","frame-hurricane-p","i","","","S(50cm)","","","","1","100","0","0","1","1"
"","frame-hurricane-p","i","","","L(54cm)","","","","1","100","0","0","1","1"
"","frame-kagero-ob","i","","","S(52cm)","","","","1","100","0","0","3","3"
"","frame-kagero-ob","i","","","M(55cm)","","","","1","99","0","0","3","3"
"","frame-kagero-ob","i","","","L(57cm)","","","","1","100","0","0","3","3"
"","frame-kagero-pp","i","","","S(52cm)","","","","1","99","0","0","3","3"
"","frame-kagero-pp","i","","","M(55cm)","","","","1","99","0","0","3","3"
"","frame-kagero-pp","i","","","L(57cm)","","","","1","100","0","0","3","3"
"","frame-pharaoh-b","i","","","SM(39cm)","","","","1","100","0","0","1","1"
"","frame-pharaoh-b","i","","","L(43cm)","","","","1","100","0","0","1","1"
"","frame-pharaoh-c","i","","","SM(39cm)","","","","1","100","0","0","1","1"
"","frame-pharaoh-c","i","","","L(43cm)","","","","1","100","0","0","1","1"
"","frame-pharaoh-p","i","","","SM(39cm)","","","","1","100","0","0","1","1"
"","frame-pharaoh-p","i","","","L(43cm)","","","","1","100","0","0","1","1"
"","frame-renovatio","i","","","50cm","","","","0","100","0","0","3","3"
"","frame-renovatio","i","","","52cm","","","","0","100","0","0","3","3"
"","frame-renovatio","i","","","54cm","","","","0","100","0","0","3","3"
"","frame-renovatio","i","","","56cm","","","","0","100","0","0","3","3"
"","frame-renovatio","i","","","58cm","","","","0","100","0","0","3","3"
"","frame-renovatio","i","","","60","","","","0","100","0","0","3","3"
"","houston","i","","","48cm","","","","0","10","0","0","6","6"
"","houston","i","","","50cm","","","","0","10","0","0","6","6"
"","houston","i","","","52cm","","","","0","10","0","0","6","6"
"","houston","i","","","54cm","","","","0","10","0","0","6","6"
"","houston","i","","","56cm","","","","0","10","0","0","6","6"
"","houston","i","","","58cm","","","","0","10","0","0","6","6"
"","lagar-b","i","","","47cm","","","","1","100","0","0","1","1"
"","lagar-b","i","","","49cm","","","","1","100","0","0","1","1"
"","lagar-b","i","","","52cm","","","","1","100","0","0","1","1"
"","lagar-b","i","","","54cm","","","","1","100","0","0","1","1"
"","lagar-b","i","","","56cm","","","","1","99","0","0","1","1"
"","lagar-bl","i","","","47cm","","","","1","100","0","0","1","1"
"","lagar-bl","i","","","49cm","","","","1","100","0","0","1","1"
"","lagar-bl","i","","","52cm","","","","1","100","0","0","1","1"
"","lagar-bl","i","","","54cm","","","","1","100","0","0","1","1"
"","lagar-bl","i","","","56cm","","","","1","100","0","0","1","1"
"","montecarlo","i","","","48cm","","","","0","10","0","0","6","6"
"","montecarlo","i","","","50cm","","","","0","10","0","0","6","6"
"","montecarlo","i","","","52cm","","","","0","10","0","0","6","6"
"","montecarlo","i","","","54cm","","","","0","10","0","0","6","6"
"","montecarlo","i","","","56cm","","","","0","10","0","0","6","6"
"","montecarlo","i","","","58cm","","","","0","10","0","0","6","6"
"","object-b","i","","","49cm","","","","1","100","0","0","1","1"
"","object-b","i","","","53cm","","","","1","100","0","0","1","1"
"","object-b","i","","","57cm","","","","1","100","0","0","1","1"
"","object-bl","i","","","49cm","","","","1","100","0","0","1","1"
"","object-bl","i","","","53cm","","","","1","100","0","0","1","1"
"","object-bl","i","","","57cm","","","","1","100","0","0","1","1"
"","project-b","i","","","49cm","","","","1","100","0","0","1","1"
"","project-b","i","","","53cm","","","","1","100","0","0","1","1"
"","project-b","i","","","57cm","","","","1","100","0","0","1","1"
"","project-p","i","","","49cm","","","","0","100","0","1","1","1"
"","project-p","i","","","53m","","","","0","100","0","1","1","1"
"","project-p","i","","","57cm","","","","0","100","0","1","1","1"
"","tokyo","i","","","48cm","","","","0","10","0","0","6","6"
"","tokyo","i","","","50cm","","","","0","10","0","0","6","6"
"","tokyo","i","","","52cm","","","","0","10","0","0","6","6"
"","tokyo","i","","","54cm","","","","0","10","0","0","6","6"
"","tokyo","i","","","56cm","","","","0","10","0","0","6","6"
"","tokyo","i","","","58cm","","","","0","10","0","0","6","6"
"","twitter-721tr-white","i","","","46cm","","","","0","0","0","1","1","3"
"","twitter-721tr-white","i","","","48.5cm","","","","0","0","0","1","1","3"
"","twitter-721tr-white","i","","","51cm","","","","0","0","0","1","1","3"
"","twitter-721tr-white","i","","","53cm","","","","0","100","0","1","1","3"
"","twitter-721tr-white","i","","","55cm","","","","0","100","0","1","1","3"
"","twitter-721tr-white","i","","","58cm","","","","0","100","0","1","1","3"
